Insight,Category,Quantitative Evidence,Derived From,Evidence Strength
"The dataset covers 18,265 daily observations across 5 cities from 2015-01-01 to 2024-12-31.",Data scope,"rows=18,265; cities=5; range=2015-01-01..2024-12-31",Notebook 01/02 - data quality report,measured
"Cleaning removed no rows: the supplied file contains no duplicate records and no missing values, so the analysis rests entirely on originally recorded values.",Data quality,"duplicates_before=0, missing_before=0, rows_removed=0",Notebook 02 - cleaning log,measured
"Mumbai has the highest average AQI (318.185) and Chennai the lowest (316.619), a gap of 1.6 index points.",City comparison,max_avg_AQI=318.185 (Mumbai); min_avg_AQI=316.619 (Chennai); gap=1.57,city_summary.csv,measured
"Although city averages differ slightly, the difference between cities is NOT statistically significant (ANOVA F=0.0985, p=0.983), so this dataset does not support a claim that any one city is materially more polluted.",Statistical test,"ANOVA_F=0.0985, p=0.983, mean_spread=1.566",Notebook 05 - group comparison test,measured
"PM10 shows the strongest association with AQI (Pearson r=0.2296, weak, p=4.49e-217); 3 of 9 pollutants reach significance at 0.05.",Correlation,"top_r=0.2296, r2=0.0527, p=4.49e-217, significant=3/9",correlation_matrix.csv / Notebook 05,measured
"Measured linearly, PM10 explains only 5.3% of AQI variance, and correlation is not causation: this dataset contains no activity or meteorological data that could support a causal claim. A non-linear test (below) shows whether the near-zero Pearson coefficients really mean 'no relationship'.",Correlation,r2=0.0527,Notebook 05,measured
"K-Means was run with K=2, selected because it maximised the silhouette score (0.0838); the elbow rule suggested K=4.",Clustering,"chosen_K=2, silhouette=0.0838, elbow_K=4",Notebook 06 - K selection table,measured
"The silhouette score of 0.0838 is below the conventional 0.25 threshold for meaningful structure, so the clusters should be read as a software partition of the value range rather than as naturally distinct pollution profiles.",Clustering,silhouette=0.0838 < 0.25,Notebook 06 - K selection table,measured
"Isolation Forest flagged 914 of 18,265 records (5.0%) as statistically unusual; Chennai contributes the most (200).",Anomaly detection,"anomalies=914, share=5.0%, contamination=0.05",anomaly_results.csv,measured
"Anomaly rates differ across cities by only 0.87 percentage points, which is consistent with the configured contamination rate rather than with city-specific unusual events. Anomaly labels describe statistical unusualness, not an identified cause.",Anomaly detection,anomaly_pct_spread=0.87pp,Notebook 07,measured
"The best model by macro-F1 is Random Forest (accuracy 99.28%, macro-F1 0.7765).",Classification,"model=Random Forest, acc=99.28%, macroF1=0.7765",model_comparison.csv,measured
"The best model beats the prior-based baseline by +69.17 percentage points (30.11% -> 99.28%), so the pollutant columns do carry substantial information about the AQI band.",Classification,"baseline=30.11%, best=99.28%, delta=+69.17pp",model_comparison.csv,measured
"Leakage control applied: AQI_Bucket is derived from AQI, so AQI was removed from the predictors. Adding it back changes accuracy only from 99.28% to 99.96% (0.68 pp) - because the pollutant concentrations already recover the index almost completely.",Model validity,"acc_without=99.28%, acc_with=99.96%, inflation=0.68pp",Notebook 08 - leakage check,measured
"AQI is almost fully determined by the pollutant concentrations: a cross-validated random-forest regressor reaches R2=0.9969 (MAE 1.2114) while linear regression reaches only R2=0.0579. The relationship is therefore strong but NON-LINEAR, which is why the Pearson matrix shows near-zero coefficients - a textbook warning against concluding 'no relationship' from correlation alone.",Correlation / method,"tree_CV_R2=0.9969, linear_R2=0.0579, gap=0.939",Notebook 05 - non-linear predictability test,measured
"Because AQI can be reproduced from the concentrations with R2=0.9969, AQI behaves as a derived column in this file rather than as an independently measured quantity. Findings that compare AQI against pollutants are therefore partly circular and are labelled as such.",Data integrity,"tree_CV_R2=0.9969, features=9",Notebook 05,interpretation
"Greedy search identifies the columns AQI is built from: PM2.5 (0.4935) -> PM10 (0.9588) -> O3 (0.9862). PM2.5 alone reaches R2=0.4935, adding PM10 raises it to 0.9588, and every further column together adds only 0.0274 - so AQI in this file is computed mainly from the particulate-matter columns rather than measured independently.",Data integrity,"informative_set=['PM2.5', 'PM10', 'O3']; single_column_r2={'PM2.5': 0.4935, 'PM10': 0.1913, 'NO': -0.0866, 'NO2': -0.0796, 'NOx': -0.1095, 'NH3': -0.045, 'CO': -0.0762, 'SO2': -0.0744, 'O3': -0.0933}",Notebook 05 - AQI structure probe,measured
"The mean AQI profile across deciles of PM2.5 rises and then falls again (monotonic: False). A physical AQI sub-index cannot decrease when a concentration increases, so this relationship is arithmetically reproducible but not physically meaningful - the project reports it as an integrity finding instead of an 'insight' about pollution. Inside narrow PM2.5 x PM10 cells AQI still varies by 26.77 points on average (76.5% below the overall SD of 113.89), so a small residual comes from the other columns.",Data integrity,"monotonic=False; within_cell={'cells': 400, 'mean_sd': 26.77, 'mean_range': 106.46, 'overall_sd': 113.89, 'sd_reduction_pct': 76.5}",Notebook 05 - shape of the AQI relationship,interpretation
"Integrity finding: 8 of 10 measured columns are statistically indistinguishable from a uniform distribution on a round maximum (all with excess kurtosis near -1.2 and near-zero skew), which is the signature of randomly generated values, not of monitored pollutant concentrations (real concentrations are right-skewed).",Data integrity,uniform_like_columns=8/10; kurtosis_range=-1.214..-1.194,Notebook 05 - distribution tests,measured
AQI over 2015-2024 shows a fitted slope of 0.0366 index points per year with p=0.9001: no statistically detectable trend. The dataset therefore does not evidence a rising or falling pollution trend.,Trend analysis,"slope_per_year=0.0366, p=0.9001, r=0.0009",Notebook 05 / 09 - trend test,measured
"Overall: the analytical pipeline is valid and fully reproducible, but the conclusions it can support are limited by the dataset itself. Patterns that real air-quality data shows (city ranking, winter spikes, PM-AQI coupling) are absent here, so they are reported as absent rather than asserted.",Overall conclusion,see Notebook 05 integrity tests and model_comparison.csv,all notebooks,interpretation
